action,arm,estimated_count,estimated_mean_reward,execution_count,execution_mean_reward,mean_reward,pull_count,reward_sum,service_id,source_plane,target_plane
add,"[""add"", 13, null, 1]",1.0,1.9043501123528304,1.0,0.7817801584934647,1.3430651354231475,2.0,2.686130270846295,13,,1
add,"[""add"", 13, null, 4]",1.0,1.653957719287879,1.0,0.7567409191869696,1.2053493192374243,2.0,2.4106986384748486,13,,4
add,"[""add"", 13, null, 5]",1.0,1.79066722950112,1.0,0.7704118702082937,1.2805395498547067,2.0,2.5610790997094135,13,,5
add,"[""add"", 13, null, 6]",1.0,1.2091738341816,1.0,0.7480047547037993,0.9785892944426997,2.0,1.9571785888853994,13,,6
add,"[""add"", 14, null, 4]",1.0,1.986274306083464,1.0,0.7307419025839448,1.3585081043337044,2.0,2.717016208667409,14,,4
add,"[""add"", 14, null, 8]",1.0,1.724384771194629,1.0,0.7045529490950613,1.2144688601448452,2.0,2.4289377202896905,14,,8
add,"[""add"", 17, null, 0]",1.0,1.6448046274680859,1.0,0.7630463022259583,1.2039254648470221,2.0,2.4078509296940442,17,,0
add,"[""add"", 17, null, 5]",1.0,1.6438176330550556,1.0,0.7629476027846552,1.2033826179198555,2.0,2.406765235839711,17,,5
add,"[""add"", 17, null, 7]",1.0,1.7117420086146788,1.0,0.7697400403406175,1.2407410244776482,2.0,2.4814820489552964,17,,7
add,"[""add"", 17, null, 9]",1.0,1.850479354456817,1.0,0.7627220584766173,1.306600706466717,2.0,2.613201412933434,17,,9
add,"[""add"", 2, null, 2]",1.0,2.262044502653347,1.0,0.7813905905944991,1.521717546623923,2.0,3.043435093247846,2,,2
add,"[""add"", 2, null, 7]",1.0,2.0662586656210267,1.0,0.7827154445798646,1.4244870551004456,2.0,2.848974110200891,2,,7
add,"[""add"", 2, null, 9]",1.0,2.5168975625813688,1.0,0.7697904881889821,1.6433440253851754,2.0,3.286688050770351,2,,9
add,"[""add"", 21, null, 0]",1.0,2.646326247366382,1.0,0.7898305658740178,1.7180784066201997,2.0,3.4361568132403995,21,,0
add,"[""add"", 21, null, 5]",1.0,2.6909836332054757,1.0,0.7942963044579272,1.7426399688317016,2.0,3.485279937663403,21,,5
add,"[""add"", 21, null, 7]",1.0,3.3172042633914733,1.0,0.7790922868477246,2.048148275119599,2.0,4.096296550239198,21,,7
add,"[""add"", 21, null, 8]",1.0,2.72747651945382,1.0,0.7979455930827617,1.7627110562682908,2.0,3.5254221125365817,21,,8
add,"[""add"", 23, null, 2]",1.0,3.4015241088540034,1.0,0.7776719540770252,2.0895980314655143,2.0,4.1791960629310285,23,,2
add,"[""add"", 23, null, 3]",1.0,3.49837869965651,1.0,0.7873574131572758,2.142868056406893,2.0,4.285736112813786,23,,3
add,"[""add"", 23, null, 5]",1.0,3.3056219201426122,1.0,0.7680817352058861,2.036851827674249,2.0,4.073703655348498,23,,5
add,"[""add"", 23, null, 8]",1.0,3.0562743071352187,1.0,0.7811940427441483,1.9187341749396836,2.0,3.837468349879367,23,,8
