action,arm_key,cross_orbit_transfer,epoch,estimated_reward,execution_feedback_reward,expected_saving,migration_cost,migration_delay_s,migration_energy_j,migration_route_mode,selected_source_node,service_id,source_node,source_plane,target_node,target_plane
add,"['add', 19, None, 0]",True,10,2.3431314623766113,0.0,2.5,0.15686853762338857,0.25148184859215705,0.5081545159453297,min_cost_max_flow,55,19,,,1,0
move,"['move', 19, 0, 1]",True,10,1.63773512810895,0.0,1.875,0.2372648718910499,0.40234739133025865,0.5916831366464996,min_cost_max_flow,1,19,1,0,23,1
move,"['move', 19, 0, 2]",True,10,1.6024460220282584,0.0,1.875,0.2725539779717417,0.49050106751835143,0.637742479070911,min_cost_max_flow,12,19,12,0,37,2
move,"['move', 19, 1, 0]",True,10,1.5072487595938815,0.0,1.875,0.3677512404061185,0.7281160176073005,0.8898798103995227,min_cost_max_flow,23,19,23,1,12,0
add,"['add', 14, None, 0]",True,20,2.5563596998042906,0.0,2.8000000000000003,0.24364030019570962,0.4364021763137913,0.4602985505097116,min_cost_max_flow,69,14,,,1,0
add,"['add', 14, None, 1]",True,20,2.5968350643028497,0.0,2.8000000000000003,0.20316493569715052,0.33541418586263205,0.3266846870173885,min_cost_max_flow,111,14,,,23,1
add,"['add', 14, None, 2]",True,20,2.668840996963469,0.0,2.8000000000000003,0.1311590030365311,0.15563940103901075,0.16665346839922446,min_cost_max_flow,23,14,,,39,2
move,"['move', 14, 3, 0]",True,20,1.7450068685576587,0.0,2.1,0.36165966694234125,0.680887372213661,0.8357791949826961,min_cost_max_flow,62,14,62,3,3,0
add,"['add', 29, None, 0]",True,30,3.478670678248983,0.0,3.7,0.22132932175101744,0.34778973763977206,0.2855865036101437,min_cost_max_flow,180,29,,,4,0
add,"['add', 29, None, 1]",True,30,3.4947515716287896,0.0,3.7,0.2052484283712108,0.3076043498476224,0.2743560653654956,min_cost_max_flow,4,29,,,24,1
add,"['add', 29, None, 2]",True,30,3.5084813703292346,0.0,3.7,0.19151862967076547,0.2732556689468879,0.29047883177957595,min_cost_max_flow,4,29,,,40,2
move,"['move', 29, 0, 1]",True,30,2.5060224312277675,0.0,2.7750000000000004,0.26897756877223294,0.4168296035786341,0.33942091306130007,min_cost_max_flow,4,29,4,0,25,1
remove,"['remove', 20, 6, None]",False,40,2.5398857123333336,0.0,0.13999999999999999,0.01,0.0,0.0,remove_only,,20,125,6,,
add,"['add', 15, None, 0]",True,40,2.4985593961620074,0.0,3.0,0.5014406038379924,0.7726422380237068,1.3129350298730904,min_cost_max_flow,72,15,,,4,0
add,"['add', 15, None, 1]",True,40,2.3840262148771156,0.0,3.0,0.6159737851228845,1.0592732643049771,1.1142196505129969,min_cost_max_flow,4,15,,,26,1
add,"['add', 15, None, 2]",True,40,2.5856246379052235,0.0,3.0,0.4143753620947766,0.5552032862561873,1.1634999695264472,min_cost_max_flow,72,15,,,41,2
move,"['move', 19, 0, 3]",True,50,1.8961255395773682,0.0,2.1,0.20387446042263196,0.3192917105156994,0.31145123232278876,min_cost_max_flow,12,19,12,0,62,3
move,"['move', 19, 1, 2]",True,50,1.7684945012073734,0.0,2.1,0.3315054987926268,0.6378711130551551,0.6435801560103414,min_cost_max_flow,33,19,33,1,43,2
move,"['move', 19, 2, 0]",True,50,1.842878597450159,0.0,2.1,0.25712140254984106,0.4520617038281216,0.5430259027230785,min_cost_max_flow,37,19,37,2,12,0
move,"['move', 19, 2, 1]",True,50,1.7684945012073734,0.0,2.1,0.3315054987926268,0.6378711130551551,0.6435801560103412,min_cost_max_flow,43,19,43,2,33,1
move,"['move', 19, 0, 4]",True,60,1.4956018044723083,0.0,1.875,0.3793981955276917,0.7572205561581313,0.8984459791343683,min_cost_max_flow,12,19,12,0,73,4
move,"['move', 19, 1, 3]",True,60,1.6530696667617228,0.0,1.875,0.22193033323827718,0.3642269964146294,0.4477153257781551,min_cost_max_flow,33,19,33,1,56,3
