action,arm,estimated_count,estimated_mean_reward,execution_count,execution_mean_reward,mean_reward,pull_count,reward_sum,service_id,source_plane,target_plane
add,"[""add"", 1, null, 0]",1.0,1.720710464329676,1.0,0.586017178404098,1.153363821366887,2.0,2.306727642733774,1,,0
add,"[""add"", 1, null, 1]",1.0,1.6395490815804004,1.0,0.5779010401291704,1.1087250608547854,2.0,2.217450121709571,1,,1
add,"[""add"", 1, null, 9]",1.0,1.7790697936267585,1.0,0.5918531113338062,1.1854614524802825,2.0,2.370922904960565,1,,9
add,"[""add"", 12, null, 3]",1.0,2.058125201630203,1.0,0.5895215865749089,1.3238233941025561,2.0,2.6476467882051122,12,,3
add,"[""add"", 15, null, 0]",1.0,2.6023825425429203,1.0,0.5789326698429155,1.5906576061929179,2.0,3.1813152123858357,15,,0
add,"[""add"", 15, null, 1]",1.0,2.6412028335615862,1.0,0.5828146989447821,1.6120087662531841,2.0,3.2240175325063682,15,,1
add,"[""add"", 16, null, 0]",1.0,2.266965987450469,1.0,0.5129258849849885,1.3899459362177287,2.0,2.7798918724354573,16,,0
add,"[""add"", 16, null, 1]",1.0,2.7236594896940485,1.0,0.5713970980388677,1.6475282938664582,2.0,3.2950565877329163,16,,1
add,"[""add"", 16, null, 2]",1.0,2.647177810108366,1.0,0.5637489300802995,1.6054633700943326,2.0,3.210926740188665,16,,2
add,"[""add"", 16, null, 4]",1.0,2.8073652111957403,1.0,0.579767670189037,1.6935664406923887,2.0,3.3871328813847774,16,,4
add,"[""add"", 16, null, 7]",1.0,2.29221720243166,1.0,0.5154510064831076,1.4038341044573837,2.0,2.8076682089147673,16,,7
add,"[""add"", 17, null, 5]",1.0,1.9333620661971551,1.0,0.5988280859182767,1.2660950760577159,2.0,2.5321901521154317,17,,5
add,"[""add"", 17, null, 7]",1.0,1.8509401034914341,1.0,0.5905858896477046,1.2207629965695694,2.0,2.441525993139139,17,,7
add,"[""add"", 17, null, 8]",1.0,1.8282296965419385,1.0,0.5883148489527551,1.2082722727473467,2.0,2.4165445454946934,17,,8
add,"[""add"", 18, null, 1]",1.0,1.7112634246302234,1.0,0.5513591625808735,1.1313112936055485,2.0,2.262622587211097,18,,1
add,"[""add"", 18, null, 4]",1.0,2.2949883438791696,1.0,0.5988452302434168,1.4469167870612933,2.0,2.8938335741225867,18,,4
add,"[""add"", 2, null, 0]",1.0,2.0767447490561826,1.0,0.4782460431934458,1.277495396124814,2.0,2.554990792249628,2,,0
add,"[""add"", 2, null, 3]",1.0,2.0755855302733943,1.0,0.478130121315167,1.2768578257942806,2.0,2.5537156515885613,2,,3
add,"[""add"", 20, null, 0]",1.0,1.8245335555200801,1.0,0.5617949325624939,1.193164244041287,2.0,2.386328488082574,20,,0
add,"[""add"", 20, null, 4]",1.0,1.7815388124747535,1.0,0.5574954582579612,1.1695171353663574,2.0,2.3390342707327147,20,,4
add,"[""add"", 20, null, 6]",1.0,2.583571026733631,1.0,0.5468872849110074,1.565229155822319,2.0,3.130458311644638,20,,6
add,"[""add"", 20, null, 8]",1.0,1.9402843299802421,1.0,0.5733700100085101,1.256827169994376,2.0,2.513654339988752,20,,8
add,"[""add"", 24, null, 3]",1.0,2.9044335085622843,1.0,0.5915994360606837,1.748016472311484,2.0,3.496032944622968,24,,3
add,"[""add"", 24, null, 5]",1.0,2.1741677216370108,1.0,0.46974482029917636,1.3219562709680936,2.0,2.6439125419361873,24,,5
add,"[""add"", 24, null, 6]",1.0,2.9431183659568783,1.0,0.5954679218001431,1.7692931438785107,2.0,3.5385862877570213,24,,6
add,"[""add"", 24, null, 7]",1.0,2.088501096076684,1.0,0.46117815774314364,1.2748396269099138,2.0,2.5496792538198276,24,,7
add,"[""add"", 24, null, 9]",1.0,2.9921100243815157,1.0,0.6003670876426068,1.7962385560120613,2.0,3.5924771120241226,24,,9
add,"[""add"", 25, null, 0]",1.0,1.533289868286658,1.0,0.5863188641035877,1.0598043661951229,2.0,2.1196087323902457,25,,0
add,"[""add"", 25, null, 1]",1.0,1.627622768270613,1.0,0.5957521541019831,1.1116874611862981,2.0,2.2233749223725963,25,,1
add,"[""add"", 26, null, 4]",1.0,1.9528544071960565,1.0,0.5839820017729073,1.2684182044844818,2.0,2.5368364089689637,26,,4
add,"[""add"", 26, null, 8]",1.0,2.4894410898473778,1.0,0.5756858028437076,1.5325634463455426,2.0,3.0651268926910853,26,,8
add,"[""add"", 27, null, 1]",1.0,1.4703899454547373,1.0,0.6039539148745217,1.0371719301646296,2.0,2.074343860329259,27,,1
add,"[""add"", 27, null, 2]",1.0,1.5095502443166897,1.0,0.6078699447607169,1.0587100945387034,2.0,2.1174201890774067,27,,2
add,"[""add"", 27, null, 3]",1.0,1.4264390950292516,1.0,0.5995588298319731,1.0129989624306124,2.0,2.0259979248612248,27,,3
add,"[""add"", 28, null, 0]",1.0,1.5712948463550633,1.0,0.5009769891327629,1.0361359177439131,2.0,2.0722718354878262,28,,0
add,"[""add"", 28, null, 2]",1.0,1.693319922117409,1.0,0.5131794967089974,1.1032497094132032,2.0,2.2064994188264064,28,,2
add,"[""add"", 28, null, 3]",1.0,1.709296518176921,1.0,0.5147771563149487,1.1120368372459348,2.0,2.2240736744918697,28,,3
add,"[""add"", 28, null, 8]",1.0,1.610956804289256,1.0,0.6029850698563652,1.1069709370728105,2.0,2.213941874145621,28,,8
add,"[""add"", 29, null, 0]",1.0,1.493421283518562,1.0,0.5627124329470328,1.0280668582327974,2.0,2.056133716465595,29,,0
add,"[""add"", 29, null, 1]",1.0,1.5082348853169012,1.0,0.5641937931268667,1.0362143392218839,2.0,2.0724286784437678,29,,1
add,"[""add"", 29, null, 9]",1.0,1.4669898668767596,1.0,0.5600692912828524,1.013529579079806,2.0,2.027059158159612,29,,9
add,"[""add"", 3, null, 4]",1.0,1.5241171773634516,1.0,0.5413032633867041,1.032710220375078,2.0,2.065420440750156,3,,4
add,"[""add"", 5, null, 2]",1.0,1.9794540298224748,1.0,0.5583066200812756,1.2688803249518752,2.0,2.5377606499037504,5,,2
add,"[""add"", 5, null, 4]",1.0,2.103584895528785,1.0,0.5707197066519066,1.3371523010903459,2.0,2.6743046021806918,5,,4
add,"[""add"", 6, null, 4]",1.0,1.7672952791078396,1.0,0.5535974955095238,1.1604463873086817,2.0,2.3208927746173633,6,,4
add,"[""add"", 6, null, 7]",1.0,1.7821937072479481,1.0,0.5550873383235346,1.1686405227857413,2.0,2.3372810455714825,6,,7
add,"[""add"", 6, null, 8]",1.0,1.7096267042467617,1.0,0.547830638023416,1.1287286711350888,2.0,2.2574573422701776,6,,8
add,"[""add"", 9, null, 3]",1.0,1.7415357297432654,1.0,0.5602663901777655,1.1509010599605154,2.0,2.301802119921031,9,,3
move,"[""move"", 1, 0, 7]",1.0,0.8882988742883879,1.0,0.7057326164246509,0.7970157453565194,2.0,1.5940314907130388,1,0,7
move,"[""move"", 1, 1, 7]",1.0,0.6031859432422563,1.0,0.6772213233200378,0.640203633281147,2.0,1.280407266562294,1,1,7
move,"[""move"", 1, 2, 6]",1.0,0.8109861507549442,1.0,0.6980013440713065,0.7544937474131254,2.0,1.5089874948262507,1,2,6
move,"[""move"", 1, 2, 7]",1.0,0.7609415659294116,1.0,0.6929968855887533,0.7269692257590825,2.0,1.453938451518165,1,2,7
move,"[""move"", 12, 1, 0]",1.0,1.0302040137203075,1.0,0.7034829310205712,0.8668434723704393,2.0,1.7336869447408787,12,1,0
move,"[""move"", 12, 2, 0]",1.0,1.1573240297974419,1.0,0.7233105950407847,0.9403173124191133,2.0,1.8806346248382266,12,2,0
move,"[""move"", 12, 2, 8]",1.0,0.9521730614370744,1.0,0.7027954982047478,0.8274842798209111,2.0,1.6549685596418222,12,2,8
move,"[""move"", 12, 3, 0]",1.0,1.1120551666607779,1.0,0.7187837087271183,0.9154194376939481,2.0,1.8308388753878961,12,3,0
