action,arm,estimated_count,estimated_mean_reward,execution_count,execution_mean_reward,mean_reward,pull_count,reward_sum,service_id,source_plane,target_plane
add,"[""add"", 1, null, 3]",1.0,2.610888345827866,1.0,0.6079297905841908,1.6094090682060285,2.0,3.218818136412057,1,,3
add,"[""add"", 1, null, 6]",1.0,2.575438031080912,1.0,0.6043847591094955,1.589911395095204,2.0,3.179822790190408,1,,6
add,"[""add"", 1, null, 7]",1.0,2.602243534833235,1.0,0.6070653094847278,1.6046544221589816,2.0,3.209308844317963,1,,7
add,"[""add"", 11, null, 6]",1.0,1.7741897206851351,1.0,0.6342465660802103,1.2042181433826729,2.0,2.4084362867653457,11,,6
add,"[""add"", 12, null, 0]",1.0,1.7135900485920106,1.0,0.5685161074209771,1.1410530780064938,2.0,2.2821061560129876,12,,0
add,"[""add"", 12, null, 2]",1.0,1.8066686067258702,1.0,0.5778239632343631,1.1922462849801168,2.0,2.3844925699602335,12,,2
add,"[""add"", 12, null, 4]",1.0,2.0723710145859777,1.0,0.5878805134840209,1.3301257640349993,2.0,2.6602515280699985,12,,4
add,"[""add"", 12, null, 5]",1.0,2.1398945380519643,1.0,0.5946328658306196,1.3672637019412919,2.0,2.7345274038825838,12,,5
add,"[""add"", 12, null, 6]",1.0,1.755546242293401,1.0,0.5727117267911163,1.1641289845422587,2.0,2.3282579690845173,12,,6
add,"[""add"", 13, null, 0]",1.0,1.4715936319359297,1.0,0.6085027652763456,1.0400481986061376,2.0,2.0800963972122752,13,,0
add,"[""add"", 20, null, 0]",1.0,3.024047864352352,1.0,0.5632266537880647,1.7936372590702083,2.0,3.5872745181404166,20,,0
add,"[""add"", 20, null, 5]",1.0,3.0142341531921737,1.0,0.5622452826720469,1.7882397179321103,2.0,3.5764794358642207,20,,5
add,"[""add"", 20, null, 9]",1.0,2.257765341073938,1.0,0.5920948084018628,1.4249300747379003,2.0,2.8498601494758007,20,,9
add,"[""add"", 24, null, 6]",1.0,3.2815062358216167,1.0,0.56137315305428,1.9214396944379484,2.0,3.8428793888758968,24,,6
add,"[""add"", 24, null, 7]",1.0,3.3690533089053756,1.0,0.570127860362656,1.9695905846340158,2.0,3.9391811692680316,24,,7
add,"[""add"", 25, null, 0]",1.0,2.30324307048512,1.0,0.5660199800465738,1.434631525265847,2.0,2.869263050531694,25,,0
add,"[""add"", 25, null, 2]",1.0,1.99438176485874,1.0,0.5959174240087179,1.295149594433729,2.0,2.590299188867458,25,,2
