action,arm,estimated_count,estimated_mean_reward,execution_count,execution_mean_reward,mean_reward,pull_count,reward_sum,service_id,source_plane,target_plane
add,"[""add"", 10, null, 2]",1.0,1.53141725639019,1.0,0.7161746539341851,1.1237959551621874,2.0,2.247591910324375,10,,2
add,"[""add"", 10, null, 4]",1.0,1.6835448813410672,1.0,0.6830929985440266,1.1833189399425468,2.0,2.3666378798850936,10,,4
add,"[""add"", 10, null, 5]",1.0,1.6214639760940854,1.0,0.6768849080193284,1.149174442056707,2.0,2.298348884113414,10,,5
add,"[""add"", 10, null, 6]",1.0,1.5595641269678393,1.0,0.6706949231067038,1.1151295250372715,2.0,2.230259050074543,10,,6
add,"[""add"", 10, null, 8]",1.0,1.651806674141472,1.0,0.7282135957093133,1.1900101349253926,2.0,2.3800202698507853,10,,8
add,"[""add"", 12, null, 5]",1.0,2.041160234082287,1.0,0.558716298053884,1.2999382660680854,2.0,2.5998765321361708,12,,5
add,"[""add"", 12, null, 6]",1.0,2.155314365909806,1.0,0.5701317112366359,1.362723038573221,2.0,2.725446077146442,12,,6
add,"[""add"", 13, null, 3]",1.0,2.315630408549147,1.0,0.5779085959038371,1.4467695022264921,2.0,2.8935390044529843,13,,3
add,"[""add"", 13, null, 8]",1.0,2.316502773346943,1.0,0.5779958323836167,1.44724930286528,2.0,2.89449860573056,13,,8
add,"[""add"", 14, null, 1]",1.0,2.070795519645976,1.0,0.6163837705899492,1.3435896451179625,2.0,2.687179290235925,14,,1
add,"[""add"", 16, null, 0]",1.0,2.04731197760209,1.0,0.5889858311604463,1.3181489043812682,2.0,2.6362978087625364,16,,0
add,"[""add"", 16, null, 1]",1.0,1.976461033967651,1.0,0.5819007367970025,1.2791808853823268,2.0,2.5583617707646535,16,,1
add,"[""add"", 16, null, 3]",1.0,1.703127432812829,1.0,0.5951028759575043,1.1491151543851665,2.0,2.298230308770333,16,,3
add,"[""add"", 16, null, 4]",1.0,1.653745030929592,1.0,0.5901646357691805,1.1219548333493863,2.0,2.2439096666987726,16,,4
add,"[""add"", 16, null, 8]",1.0,1.7615370800423482,1.0,0.6009438406804563,1.1812404603614022,2.0,2.3624809207228044,16,,8
add,"[""add"", 20, null, 3]",1.0,1.6001506560392138,1.0,0.673523319942357,1.1368369879907854,2.0,2.2736739759815707,20,,3
add,"[""add"", 20, null, 4]",1.0,1.7025312950355076,1.0,0.6837613838419864,1.193146339438747,2.0,2.386292678877494,20,,4
add,"[""add"", 20, null, 7]",1.0,1.681400570418147,1.0,0.6816483113802503,1.1815244408991985,2.0,2.363048881798397,20,,7
add,"[""add"", 21, null, 2]",1.0,1.6616305014044752,1.0,0.5784096438434964,1.1200200726239857,2.0,2.2400401452479715,21,,2
add,"[""add"", 21, null, 3]",1.0,2.4668717968214517,1.0,0.5719406050739827,1.5194062009477172,2.0,3.0388124018954343,21,,3
add,"[""add"", 21, null, 4]",1.0,2.6002053235665086,1.0,0.5852739577484883,1.5927396406574985,2.0,3.185479281314997,21,,4
add,"[""add"", 21, null, 6]",1.0,2.4269802615615514,1.0,0.5679514515479926,1.497465856554772,2.0,2.994931713109544,21,,6
add,"[""add"", 21, null, 7]",1.0,1.7234193542235505,1.0,0.6234854494707909,1.1734524018471708,2.0,2.3469048036943416,21,,7
add,"[""add"", 22, null, 0]",1.0,1.7479550037665952,1.0,0.5767547256619412,1.1623548647142683,2.0,2.3247097294285366,22,,0
add,"[""add"", 22, null, 3]",1.0,1.818637537790024,1.0,0.583822979064284,1.201230258427154,2.0,2.402460516854308,22,,3
add,"[""add"", 22, null, 5]",1.0,2.668389707515834,1.0,0.6057146136873992,1.6370521606016166,2.0,3.2741043212032332,22,,5
add,"[""add"", 22, null, 6]",1.0,1.7757082410430902,1.0,0.5795300493895907,1.1776191452163405,2.0,2.355238290432681,22,,6
add,"[""add"", 22, null, 9]",1.0,2.569454175000322,1.0,0.595821060435848,1.5826376177180852,2.0,3.1652752354361704,22,,9
add,"[""add"", 24, null, 0]",1.0,1.5189235753202743,1.0,0.5588265835807475,1.038875079450511,2.0,2.077750158901022,24,,0
add,"[""add"", 25, null, 2]",1.0,1.8293890392236072,1.0,0.5389510109753205,1.1841700250994638,2.0,2.3683400501989276,25,,2
add,"[""add"", 25, null, 3]",1.0,1.7934946306514044,1.0,0.5353615701181003,1.1644281003847523,2.0,2.3288562007695046,25,,3
add,"[""add"", 25, null, 4]",1.0,1.8807862612050597,1.0,0.5440907331734658,1.2124384971892628,2.0,2.4248769943785256,25,,4
add,"[""add"", 26, null, 0]",1.0,0.9946592639434664,1.0,0.5689647201941445,0.7818119920688054,2.0,1.5636239841376107,26,,0
add,"[""add"", 26, null, 1]",1.0,1.4822330666600583,1.0,0.7081518485039381,1.0951924575819982,2.0,2.1903849151639965,26,,1
add,"[""add"", 26, null, 3]",1.0,1.1419203802835904,1.0,0.5836908318281568,0.8628056060558736,2.0,1.7256112121117473,26,,3
add,"[""add"", 28, null, 0]",1.0,1.658466933204248,1.0,0.5656402334461796,1.1120535833252139,2.0,2.2241071666504277,28,,0
add,"[""add"", 28, null, 3]",1.0,1.6595654490340017,1.0,0.565750085029155,1.1126577670315783,2.0,2.2253155340631565,28,,3
add,"[""add"", 28, null, 5]",1.0,1.9748585402745968,1.0,0.546059227682727,1.260458883978662,2.0,2.520917767957324,28,,5
add,"[""add"", 28, null, 8]",1.0,1.5684065310325175,1.0,0.5566341932290065,1.062520362130762,2.0,2.125040724261524,28,,8
add,"[""add"", 29, null, 3]",1.0,1.8636561157132674,1.0,0.5534073942409875,1.2085317549771275,2.0,2.417063509954255,29,,3
add,"[""add"", 3, null, 1]",1.0,1.9187416768214827,1.0,0.5745539014509168,1.2466477891361998,2.0,2.4932955782723996,3,,1
add,"[""add"", 3, null, 2]",1.0,1.9539835578778622,1.0,0.5780780895565547,1.2660308237172084,2.0,2.532061647434417,3,,2
add,"[""add"", 3, null, 3]",1.0,1.668573276799295,1.0,0.4938453662113281,1.0812093215053116,2.0,2.162418643010623,3,,3
add,"[""add"", 3, null, 4]",1.0,1.895204201027732,1.0,0.5722001538715417,1.2337021774496368,2.0,2.4674043548992737,3,,4
add,"[""add"", 3, null, 6]",1.0,1.9690006443697405,1.0,0.5974048405513136,1.283202742460527,2.0,2.566405484921054,3,,6
add,"[""add"", 6, null, 6]",1.0,2.931269815646256,1.0,0.5786978919190385,1.7549838537826474,2.0,3.509967707565295,6,,6
add,"[""add"", 7, null, 0]",1.0,1.2063395265796444,1.0,0.5783798206103226,0.8923596735949835,2.0,1.784719347189967,7,,0
add,"[""add"", 7, null, 2]",1.0,1.1061584563399918,1.0,0.5683617135863573,0.8372600849631746,2.0,1.6745201699263492,7,,2
add,"[""add"", 8, null, 0]",1.0,2.2779826703513835,1.0,0.5257376945795192,1.4018601824654513,2.0,2.8037203649309026,8,,0
add,"[""add"", 8, null, 1]",1.0,2.506320306931235,1.0,0.556521896380725,1.53142110165598,2.0,3.06284220331196,8,,1
add,"[""add"", 8, null, 6]",1.0,2.377670734194404,1.0,0.5357065009638213,1.4566886175791127,2.0,2.9133772351582254,8,,6
add,"[""add"", 8, null, 7]",1.0,2.4036120618718493,1.0,0.5383006337315659,1.4709563478017076,2.0,2.941912695603415,8,,7
move,"[""move"", 13, 0, 1]",1.0,1.4968396758794198,1.0,0.7199974868984379,1.108418581388929,2.0,2.216837162777858,13,0,1
move,"[""move"", 13, 0, 2]",2.0,1.639853124201931,2.0,0.7129132899683843,1.1763832070851576,4.0,4.705532828340631,13,0,2
move,"[""move"", 13, 0, 3]",1.0,1.5440592602036165,1.0,0.666955936516484,1.1055075983600502,2.0,2.2110151967201004,13,0,3
move,"[""move"", 13, 0, 4]",1.0,1.6474650997198865,1.0,0.677296520468111,1.1623808100939987,2.0,2.3247616201879975,13,0,4
move,"[""move"", 13, 0, 5]",1.0,1.5972785475772981,1.0,0.6722778652538521,1.1347782064155751,2.0,2.2695564128311503,13,0,5
move,"[""move"", 13, 0, 6]",1.0,1.273460563536587,1.0,0.6075352344846788,0.940497899010633,2.0,1.880995798021266,13,0,6
move,"[""move"", 13, 0, 7]",1.0,1.6387012725399777,1.0,0.7395838305444972,1.1891425515422374,2.0,2.3782851030844747,13,0,7
move,"[""move"", 13, 0, 8]",2.0,1.5591728193026464,2.0,0.7305033294885077,1.1448380743955768,4.0,4.579352297582307,13,0,8
move,"[""move"", 13, 0, 9]",2.0,2.022994597014916,2.0,0.7362855221616484,1.379640059588282,4.0,5.518560238353128,13,0,9
move,"[""move"", 13, 1, 0]",1.0,1.7898934001275086,1.0,0.553955800678187,1.1719246004028478,2.0,2.3438492008056957,13,1,0
